title,text,label
Джанго освобожденный,"
Новый фильм Квентина Тарантино продемонстрировал ровно то, что от него ожидали (шикарную актёрскую игру, изысканную стилизацию под классические спагетти-вестерны, стильный саундтрек, отменный сценарий и феноменальную актёрскую игру), а также немного больше.

Несмотря на неслабый хронометраж (2 часа 45 минут), жёсткий рейтинг (+ 18) и крайнюю непопсовость творчества Тарантино в целом, кинозал был забит практически до отказа. Что порадовало, зрители смотрели фильм образцово: смеялись там, где забавно, и молчали, где надо было слушать героев (а диалоги и монологи у героев Квентина как всегда блестящи).

«Джанго» захватил с первой минуты: как всегда, идеально подобранная вступительная песня одновременно пафосно и романтично звучала на фоне закованных в кандалы рабов, которых суровые надсмотрщики гнали по не менее суровой местности в необъятные американские дали.

Явление зрителям доктора Кинга Шульца (за эту роль Кристоф Вальц номинирован на «Оскара» и уже награждён «Золотым глобусом») было фееричным – как и в целом его персонаж: отчаянный охотник за головами с уютной седой бородой.

Собственно, у Тарантино невыразительных типажей не бывает априори: даже в эпизодах всегда заняты колоритные статисты.

Очень хорош Джейми Фокс в роли Джанго (сильный, способный на жестокую месть человек, которому нечего терять), однако второстепенные персонажи не менее ярки.

В очередной раз вызывает недоумение, почему киноакадемики продинамили Леонардо ди Каприо, с невероятным воодушевлением сыгравшего главгада фильма – жестокого рабовладельца-самодура Келвина Кэнди. Славный злодей из него получился, очень самобытный… Любопытно, что время съёмок одной из сцен Леонардо повредил руку, но мужественно дочитал монолог до конца, хотя кисть отчаянно кровоточила, чем сорвал искренние аплодисменты творческой труппы. Вот на этой фотографии кровь – настоящая.

Совершенно неузнаваем Сэмюэл Л. Джексон в образе человека намного старше своего возраста – хитромудрого помощника Кэнди, тонкого психолога и коварного типа.

В общем, настоящая актёрская феерия!

«Джанго» объединяет сцены, заставляющие смеяться до коликов (беседа ку-клукс-клановцев о прорезях в мешках – это нечто!), и страшные до отвращения (убийство Д’Артаньяна или смертельный поединок двух рабов в Кэндилэнде).

Тарантино привычно непринуждённо играет жанрами, уходя от лихого вестерна к трагикомедии и обратно. И, конечно, в финале не он смог удержаться от столь любимой им кровавой бани, и багровые фонтаны живописно забрызгали все стены и потолки.

А ещё многие сцены фильма, как и обещал Тарантино, носят оттенок сюрреализма, и в этом ещё одна приятная особенность просмотра.

Почерк главного голливудского enfant terrible узнаваем и, конечно, любим, ведь такого изысканного стилиста, обладателя энциклопедических познаний в кинематографе, провокатора и хулигана больше при всём желании не найдёшь. Как признался Тарантино в одном из недавних интервью, «Джанго» должен стать частью трилогии, куда войдут «Бесславные ублюдки» и ещё один фильм, который находится на стадии задумки. Что ж, подождё1м – думаю, будет очень и очень интересно!

Сегодня «Джанго освобождённый» претендует на «Оскар» в пяти номинациях, включая «лучший фильм» и «лучший сценарий» («Золотые глобусы» в этих же номинациях уже выиграны). Что ж, пожелаем ему удачи и точного попадания в заветную цель!",1
Общество мёртвых поэтов,"Общество мертвых поэтов» — это еще одна история, как людей еще с ранних лет подготавливают к существованию в тоталитарной машине. Ведь что, как ни школа с методами воспитания, которые старше экскрементов мамонта, может познакомить с жизнью по правилам без намека на кнут и пряник. Только кнут, кнут и еще раз тебе кнутом по горбу! Даже банально твоего мнения не спросит, но тут уже режиссера Остапа, как говорится, понесло, ведь этой способности по сюжету лишены даже родители учащихся показанной школы. И как правило, всякие новаторы, которые используют нестандартные методы обучения, чтобы заинтересовать своим предметом, точно не могут рассчитывать на хэппи-энд. В большинстве случаев.

Вспоминается фильм 2005 года «Хористы», но принципиальное отличие в том, что дети из французского фильма были малолетними гаденышами и учились в жестком интернате, и чтобы их сконцентрировать, новый учитель воздействует на них участием в хоре. Здесь же молодой учитель Джон Китинг, сыгранный Робином Уильямсом, приходит работать в лучшую академию США, и свой первый урок начинает с фразы «Carpe diem», акцентируя внимание, что жизнь скоротечна, и нужно уметь ловить подходящий момент. Во всяком случае, у Робина Уильямса это точно получается в данной киноленте. Каждую сцену с Джоном Катингом ты восхищаешься его подходу к преподаванию, как он побуждает парней свободно мыслить, и рассказывает об Обществе мертвых поэтов, которое существовало во времена его обучения. Вдохновившись историей, часть учеников возрождает Общество, и читая различные стихи, они находят вкус жизни.

Но не одной историей Общества мертвых поэтов, которая скоро превращается в ячейку сопротивления устоям школы, может похвастать фильм. От основной линии мы плавно переходим к историям двух учеников, которых сыграли Роберт Шон Леонард и Итан Хоук. Молодой Уилсон из «Доктора Хауса» — это тот собирательный образ молодого романтика, который хочет «порхать, как бабочка», но жесткий отец «жалит, как пчела», принуждая его быть тем, кем выгодно старперу, но не сыну. Конфликт банален, и наталкивает меня на банальный вопрос — судя по тому, что не все могут похвастать благополучными семьями, которые поощряют полет мыслей детей, почему именно противоположная каста ответственна за перенаселение планеты?

История ученика с жабьим именем «Тодд», сыгранного Итаном Хоуком, как по мне, еще банальнее, чем конфликт поколений. Вдохновленный фразой «Carpe diem», он ухитряется с первого раза влюбиться в девушку, которая вроде и относится к нему хорошо, но встречается с неотесанным увальнем, с которым даже в люди выйти стыдно. Пожалуй, вопрос «Почему девушки из кино выбирают в бойфренды моральных уродов, а хорошие парни остаются за бортом?» можно открыть и сразу закрыть, объяснив это фразой «ПАТАМУШТА». Вон, даже подобные случаи встречаются в реальной жизни.

Ну да ладно, как бы я не хаял второстепенные сюжетные арки, сообщу, что все актеры хорошо справляются. Робин Уильямс так вообще само очарование. Сценаристы знают, где можно повеселить, а где надавить побольнее, и их труд был отмечен «золотым болванчиком». Оператор умеет выстроить хорошую картинку, особенно выделю тот момент, когда парень скатывается с холма на велосипеде, и огромная стая птиц взлетает в воздух. А вот монтажер ухитрился сразить меня наповал, наделив фильм привычкой обрывать определенные сцены на середине момента. С точки зрения смысла ничего не теряется, но со стороны это выглядит, как неуверенность девственника.

И да, после безвременной кончины Робина Уильямса фраза «О, капитан, мой капитан!» получила распространение в социальных сетях. Так обращались ученики к Катингу, который умел смеяться над школьной программой и списками литературы. И, как правило, под влиянием таких учителей стремишься не к банальному заучиванию предмету, а именно возникает тяга к чему-то. Как проучившийся при двух странах с идентичной системой образования заявляю, что литературная сфера на три четверти состояла из ванильных историй, хоть и написанных красиво. Зато жесть, подобная Стивену Кингу, Чаку Паланику и всяким циникам, совершенно точно сформировала во мне чувство сарказма, с которым я живу каждый день. Не существую, а именно живу.",1
Общество мёртвых поэтов,"Возможно, мнение моё об этом фильме будет предвзятым, потому что он затронул струны моей души именно тем, что в нём раскрывается извечная проблема отцов и детей, которая коснулась меня в моём детстве. И я до сих пор, уже набравшись жизненного опыта, жалею о том, что не воплотила свои мечты о профессии, которой 'горела' на этапе окончания школы, идя на поводу родителей. А ведь прошло много лет. Естественно, мой случай не единственный, так было, есть и будет.

И, в общем-то, этот фильм о жизни. С одной стороны я понимаю, что преподаватель, возможно, был не очень прав, яро пропагандируя свои принципы. Но, с другой стороны, за ним пошли не все. А именно те, кто имел так или иначе своё мнение, те, кто хотел двигаться тем путём свободы и независимости, те, кто хотел жить по своим правилам, при этом не делая ничего плохого, они лишь шли к своей мечте.

И я всё же на стороне Киттинга. Потому что считаю, что в 17 лет человек уже должен думать. Конечно, не стоит всех судить по себе, но та трагедия, которая произошла, случилась с человеком, думающим не так, как его родители. В каждой чёрточке его лица было видно сопротивление воле отца. Видно всем, кроме самого родителя, который почему-то не потрудился понять, а чего же хочет его умный ребёнок, он ведь в первую очередь, личность.

Не хотелось бы винить никого, здесь много факторов, которые повлияли на трагичное событие этой шедевральной картины.

Хочу сказать, что в фильме не сплошь печальные моменты. Он полон позитива, душевной теплоты и ностальгии по школьным годам. Я практически весь хронометраж по-доброму улыбалась.

А ещё, многие говорят, что кино- пустая трата времени, что оно ничему не учит. Это говорят те, кто или не смотрел такое кино, или те, кто не способен чувствовать. Это произведение нужно смотреть всем. Там столько цитат, которые ты 'пьёшь', словно воду в пустыне. В нём столько смысла, сколько не каждая книга передаст.

Конечно, игра актёров изумительна. Робин Уильямс, легенда, он был очень талантливым и многогранным. Мы будем помнить о нём всегда.

А как все актёры передавали свои эмоции, это чувствовалось сердцем.

Не ощущается, что фильм тридцатилетней давности. Всё это есть здесь и сейчас. Ты смотришь и переживаешь всё, что происходит, как будто бы ты внутри этого действия, как будто это моменты твоей жизни. У шедевра нет срока давности.

Ловите момент!

Рекомендую к просмотру всем.

Вы многое поймёте.

10 из 10",1
Общество мёртвых поэтов,"Кто такой 'мёртвый поэт'? Это человек, не растерявший смысл простой фразы - carpe diem. Эти люди поймали момент и их строки остались в памяти страниц.

И никто, даже самые идиотские авторы учебников о понимании поэзии не смогут разрушить эту оду к радости, грусти, любви. Чему угодно.

Этому пытался научить героев картины мистер Киттингс (Робин Уильямс), эксцентричный преподаватель литературы, слова которого будут пронесены через всю жизнь.

'Общество мёртвых поэтов' - это педагогическая поэма, гласящая о том, что быть вольнодумцем - это прекрасно. Что правила в такой тонкой штуке как искусство абсолютно неприемлемы. Всегда должна быть своя точка зрения.

Основные герои картины - это абсолютно разные по характеру мальчишки, из совершенно разных семей. Эти ребята живут с прекрасными юношескими мечтами, которые так редко понимает мир.

История созданного студентами 'общества мёртвых поэтов', эдакого литературного кружка посреди пещеры за речкой невероятно мотивирует и вдохновляет.

О капитан, мой капитан.",1
Общество мёртвых поэтов,"В заголовке этой рецензии я отразила одну из фраз, которые запомнятся вам на долго, а их после просмотра данного фильма будет предостаточно.

Фильм не является чем-то, что можно в любой момент включить и понять его. Для того, чтобы его понять нужно слушать каждое слово, то есть ловить момент. Каждая фраза здесь имеет большое значение, вам, как зрителю, что и остается как только поспевать за мыслями, щедро преподносящимися вам, авторами фильма.

На мой взгляд, основным месседжом фильма является не то, что нужно жить на полную катушку и наслаждаться каждым моментом, а то, что нужно учиться находить что-то среднее между конформизмом и этим уже пресловутым 'capre diem', то есть всегда пытаться найти баланс между своими мечтами и тем, что требует от тебя общество.

Одним из основных моментов, которые впечатляют в фильме, можно назвать актерский состав, Робину Уильямсу отдано уже много почестей, но их скорее всего никогда не будет достаточно. Не знаю как, но Робину и человеку, прописывавшего персонажа мистера Китинга, удалось сделать его максимально убедительным.

Также сильно запомнилась линия с учителем, который имел противоположное мнение мнению мистера Китинга, а затем мы видим его учеников, вышагивающими на улице во время урока. Мавр сделал свое дело.

После просмотра вам скорее всего покажется, что вы больше никогда не будете прежним, но к сожалению это чувство скорее всего покинет вас, так как сама жизнь вернет вас в этот суровый мир очередным пинком под зад, как звонок будильника в будний день возвращает вас к рутине, после блаженного сна.

Приятного просмотра!

9 из 10",1
Общество мёртвых поэтов,"Немногим об этом говорят, но очень важно, чтобы человек с юных лет обладал своим собственным мнением, своим голосом и самостоятельно выстраивал свою жизнь, не полагаясь на мнение толпы, или превращаясь в проект нереализованной мечты. Немногие фильмы посвящены этой теме, но, пожалуй, самой выдающейся работой по сей день остается культовая драма «Общество мёртвых поэтов».

Синопсис Ученики престижной школы-пансиона для мальчиков Уэлтон всегда жили и обучались по четырем строгим принципам: Традиция, Честь, Дисциплина и Совершенство. Но для семи юношей все меняется, когда руководство школы нанимает в качестве нового преподавателя английского языка и литературы мистера Китинга, отличающегося неортодоксальным подходом к обучению. Однажды он рассказывает об Обществе мёртвых поэтов, члены которого не просто читали стихи знаменитых поэтов, но обретали свой голос и прокладывали свой собственный путь в этой жизни.

Игра актёров Фильм отличается ярким и талантливым актерским составом, некоторые члены из которого впоследствии стали известными актёрами. Прежде всего, конечно, хотелось бы отметить Робина Уильямса в роли профессора Джона Китинга, который стал одним из немногих, кто решил отойти от изжившей себя системы, посредством литературы и поэзии преподать своим подопечным полезные уроки жизни. Из молодого состава стоит выделить совсем юного Роберта Шона Леонарда в роли Нила Перри, прилежного ученика, кто стал одним из первых, кто осознал важность самостоятельного определения собственного будущего, а посему ставшим наперекор мнению старших. Также нельзя не упомянуть совсем юного Итана Хоука в роли Тодда Андерсона, скромного юношу, в котором Китинг открыл потенциал настоящего поэта и художника.

Режиссура Это уже третий фильм Питера Уира, с творчеством которого мне довелось познакомиться после просмотра его предыдущих картин «Год, опасный для жизни» и «Свидетель». «Общество мёртвых поэтов» - это субстрат из драмы о взрослении, человеческих взаимоотношениях и борьбы против системы. С самого начала режиссер демонстрирует чопорную среду старинной американской школы-пансиона для мальчиков, где с момента основания продолжают поддерживаться строгие правила, которые якобы должны помочь подопечным стать успешными и найти место в этой жизни. Однако немногие, как профессор Китинг, видят, что система уже давно изжила себя и вместо помощи попросту губит людей, одни из которых становятся частью большой серой массы, пока не растворяются в ней, другие готовы наложить на себя руки. Не зря действие развивается в конце 50-х, когда только-только назревали перемены в обществе. Китинг, используя красоту форм и глубокий смысл, звучащий между строками великих авторов, лишь подталкивал молодое поколение к обретению собственного голоса. Конечно, как и в любой достойной психологической драме, конфликт и трагедия неизбежны, но они лишь окончательно открывают глаза юных героев на суть происходящего, внушая им больше смелости, чтобы не бояться прожить свои жизни так, как ОНИ этого хотят.

Сценарий На первый взгляд, может показаться, что сюжет фильма имеет довольно стандартную структуру, но постепенно, погружаясь в атмосферу фильма и проникаясь идеями, звучащими из уст героя Китинга, начинаешь понимать, за что картина была удостоена премии Оскар. Как уже было отмечено выше, действие развивается в конце 50-х в престижной школе для мальчиков Уэлтон. После ухода на пенсию преподавателя по литературе руководство нанимает своего выпускника профессора Китинга, отличающегося неортодоксальным методом преподавания. Вместо скучных лекций с разбором прочитанных произведений он из урока в урок пытается донести одну важную идею Carpe Diem («Лови момент»), ибо жизнь скоротечна, а ты рискуешь потерять ее, при этом не прожив по-настоящему. И несколько учеников серьезно проникаются идеей. Нил Перри, представляющий собой проект нереализованной мечты своего отца, идет наперекор мнению родителя и записывается в театральный кружок. Нокс Оверстрит решается признаться в чувствах девочке из общеобразовательной школы, не страшась тумаков от ее бойфренда. Тодд Эндерсон, скромный юноша из приличной семьи, наконец, обретает свой голос и открывает в себе неподдельный талант поэта. Однако свободомыслие не находит отклика со стороны старших, которые упорно пытаются противостоять самостоятельности ребят, что в итоге приводит к трагедии. Но это только сплачивает ребят, делая их бесстрашными перед любыми преградами.

Итог Справедливости ради нельзя не сказать об излишней сентиментальности, выраженной в ряде сцен фильма, особенно в эпизодах, где использован прием slow-motion. Несмотря на это, «Общество мёртвых поэтов» заслуженно можно отнести в разряду интеллектуального и философского кино, которое не только заставляет переживать за героев, но и задуматься над многими вещами.

8 из 10",1
Общество мёртвых поэтов,"Все птенцы рано или поздно вылетают из гнезда. В случае с ребятами из элитной академии Wellton, этих «пташек» заживо «замуровывают в скорлупе» из обязательств, продуманного плана жизни и жестких нормативных рамок. Но во спасение молодых душ, на сцене появляется безумно обаятельный Робин Уильямс, в обличии преподавателя английской словесности - Джона Китинга.

Эксцентричный учитель «бьет» по консервативным методам обучения старых и брюзгливых профессоров, у которых все должно быть «по программе». Китинг вдохновляет своих подопечных рвать страницы учебников по английской литературе, опошленные границами и геометрическими формулами, пляшет на парте, откровенно говорит о смерти, а самое главное - заставляет открыть свои сердца настоящим, не подвластным каким-либо законам, поэзии и жизни.

В этой истории, есть место как юмору, так и социальному протесту и проблеме отцов-детей и отваге (пусть и локальной). Общество всегда навязывало индивидуумам некую форму мышления, герой Уильямса же, ломает эти преграждения, даёт второму «обществу мертвых поэтов» новые дыхание, и в каком-то смысле - свободу. Проблематика и драма заключаются как раз в том, кто из героев (и как) воспользуется этой свободой.

В качественно отыгранные роли Итана Хоука, Роберта Шона Леонардо и других, хочется верить почти до конца (сделаем скидку на юный возраст актёров), а высокий уровень режиссуры Питера Уира, заставляет по настоящему проникнуться атмосферой данной истории и помнить: «carpe diem», господа, «carpe diem».

8 из 10",1
Общество мёртвых поэтов,"Австралийский режиссёр Питер Уир всегда интересовался темой самосознания человека и поиске себя в окружающем обществе. Данная тема постоянно присутствует в его творчестве. Самое удивительное, что ему удаётся поместить эту проблематику в любую жанровую оболочку. Начиная от своих ранних авторских работ, необъяснимых мистических фильмов до крупно бюджетных голливудских постановок. Данная картина получила восторженные отзывы кинокритиков, пользовалась успехом у зрителей, а также получила много кинематографических наград и номинаций, включая премию Оскар за лучший сценарий.

Картина рассказывает о престижной академии для мальчиков, в основе которой лежит строгая дисциплина. Группа учеников встречает нового учителя английского языка и литературы, чей нестандартный подход и методы преподавания заставляют их по другому взглянуть на окружающий мир. Питер Уир нашёл плодородную для себя сценарную почву, где он мог тщательно исследовать человеческую душу. И действительно молодые парни, которые только делают первые важные шаги в своей жизни, идеально подходят для исследования вопросов самосознания. Новый преподаватель погружает своих студентов в «Общество мёртвых поэтов», литературный клуб, где через знакомство с классической литературой ребята начинают самостоятельно принимать решения.

В данном фильме затронута обширная проблематика. Академия и преподавательский состав предстают чётко отложенной системой, она нацелена на воспитание идеальных профессионалов своего дела. А ученики становятся этаким сопротивлением, они не хотят быть серой массой, а стремятся стать достойными личностями с полным осознанием своего мировоззрения. И в этом жизненном пути им и помогает молодой преподаватель Джон Китинг. На примере каждого ученика мы наблюдаем жизненную драму. Это и сложные отношения родителей и детей, и первая любовь, и история дружбы, преданности и предательства. Всё это находит своё отражение в данной ленте.

Поскольку действие происходит в 1950-ые годы, режиссер сумел точно передать атмосферу того исторического периода. Это весьма точное погружение в студенческую жизнь, которая занимает важное место в американском обществе. Большая часть времени уделена переживаниям студентов и их проблемам. Перед нами глубокая жизненная драма, которая будет актуальна во все времена.

В картине собран удивительный актерский ансамбль. Режиссер собрал группу молодых исполнителей, которые идеально вписались в данную историю. Будущие актеры первой величины, а именно молодые Роберт Шон Леонард, Гэйл Хансен и Итан Хоук показали высокий уровень и смогли вызвать переживания за своих персонажей. Главную же партию исполнил потрясающий Робин Уильямс. Роль необычного учителя по праву считается одной из лучших в её карьере. Он не является центральным персонажем и большая часть фильма обходится без его присутствия, но каждым появлением в кадре Робин Уильямс крадёт всё зрительское внимание.

Общество мёртвых поэтов это глубокая, жизненная и душевная история о взрослении и воспитании молодого поколения. Оригинальная история о процессе самопознания человека и поиске своего жизненного пути. Картина простым языком рассказывает об актуальных проблемах, свойственных как конкретному человеку в частности, так и обществу в целом. Фильм несёт в себе глубокий смысл и оставляет обширную пищу для размышлений. Безусловно рекомендую.

8 из 10",1
Общество мёртвых поэтов,"Фильм придающий крылья.

Джон Китинг - новый преподаватель в консервативном колледже использующий нестандартные методы обучения. Он учит детей мыслить и быть свободными от всего что их пугает. Не делает из детей роботов как обычно в школах и делее, а позволяет им понять, что жизнь только одна и каждый должен жить в соответствии со своими желениями. К сожалению не всем это позволено.

Актеры практически все молодые, но при этом каждый из них хорошо справился со своей ролью. Конечно Робин Уильямс прекрасен как всегда, роль учителя ему очень идет, и на эту роль он подходит идеально.

После просмотра фильма просто сходишь с ума от количества мыслей, готовности к действиям и импровизации (после просмотра поймете о чем я). Конечно лучше сделать то что хочешь, чем жалеть до конца жизни о том что когда то не попробовал или побоялся сделать Ведь твоя мечта это самое главное в жизни. Не нужно быть похожим на других, нужно быть собой.

Китинг учил детей поэзии, а любовь к поэзии у детей вызвать непросто, но его необычная методика задевает их чувства вместе с чувствами зрителя. Лови момент или жизнь пройдет мимо так и не раскрыв тебе твоих же желаний! Проживем мы жизнь либо просуществуем зависит только от нас! Наверное каждый мечтал бы о таком учителе.

Конец вызывает просто бурю эмоций, порой даже не понимаешь каких, ненависти, а может непреодолимой жажды свободы.

Фильм безусловно достоин быть в списке величайших. Это особенное ни на что не похожее творение - шедевр. Рекомендую к просмотру каждому, особенно тем кто мечтает, но не решается.

10 из 10",1
Общество мёртвых поэтов,"Ух! Этот фильм затронул все фибры моей души. Наверняка, многие увидели себя в героях данной картины. Озорные и молодые бунтари, с мечтой в голове, и готовые на различные глупости ради девчонок. «Общество мертвых поэтов» охватывает большое количество тем и проблем, присущих нашему обществу. Некоторые из них, я постараюсь разобрать.

Образование, и способы его донести. У кого, при просмотре этого фильма, не возникало чувства «Это мой учитель мечты»? У меня возникло. Тема образования, в настоящее время, очень важна и злободневна. С каждым годом, градус абсурдности повышается. И это не только в России. Начиная от учителей, которые не хотят работать за 15 тысяч рублей, и заканчивая идиотскими программами обучения. Почему у молодежи нет интереса, ни к науке, ни к культуре, ни к искусству? Потому что нет людей, которые бы «горели» и зарождали огоньки в других душах. Три профессии даны человечеству, которые максимально влияют на жизнь человека: учитель, судья, врач. Это вершители судеб. Персонаж Робина Уильямса Джон Китинг – преподаватель английской литературы. Преподаватель, который рвёт все шаблоны и заставляет полюбить свой предмет тех, кому по сути эта литература, по профессии, не нужна. Он закладывает в голову юношей очень простою, но погребенную глубоко, мысль – нужно ЖИТЬ. Ловить мгновение. Оказывается, что всё у наших ног. И стоит только захотеть. Сразу же хочу сказать о Робине и о его роли. У меня, до сих пор, не укладывается в голове, как у такого человека, как Робин Уильямс, сложилась такая судьба. И не надо говорить, что это роль такая. Если человек по жизни циник, эгоист, и просто подонок, он никогда не добьется убедительности в положительных героях. Я к тому, что Робин живет своим персонажем – это он и есть. Это чувствуется, будь то «Пробуждение» или любой другой фильм. Эти глаза, которые благодарят юнцов, вставших на его защиту... сколько в них энергии и отдачи. Это просто немыслимо!

Хочу еще отметить одну проблему, в контексте этой. Таких людей, как Джон Китинг, всегда будут стараться убирать от общества. Потому что цель современного образования, сделать из тебя «винтик». Ты должен «крутиться», а не бунтовать. И хоть закидайте меня тапками, но здесь можно провести аналогию с Алексеем Навальным. Я не перехожу на личности, а всего лишь говорю о степени воздействия на людей.

Отцы и дети. Еще одна проблема, которая имеет меньшие масштабы, но не меньшие последствия. Активные вмешательства и влияния на жизнь своего ребенка, которые не оставляют свободного места для собственной жизненной позиции. Персонаж Роберта Шона Леонарда Нил Перри сталкивается с такой проблемой, причем в агрессивном её проявлении. Последствия, вытекающие из этой ситуации, можно предугадать. Они радикальны, не взвешены и не являются оправданием. Можно было решить всё другим путем, можно. Если бы отец ЗАХОТЕЛ услышать сына, то в этом бы ему помог сам Китинг. Но отец твердолобый тиран, который не только «заковал» сына, но и, как мне показалось, повлиял в негативном ключе и на свою жену, которая хотела бы возразить, но не может.

Общество. Когда человек один, управлять им намного легче. Поэтому, созданные людьми общества принято разрушать, дабы после, всех по одному «перебить» в переносном, а иногда и в буквальном, смысле. Общество – это замкнутая цепь. Стоит выбить одно звено, и как вся структура будет разрушена. И, абсолютно всегда, будут такие люди, которые ищут выгоду только для себя. От сюда выливается еще одна проблема, но о ней я говорить не буду. Так как, в фильме она особо не обозначается. К сожалению, вышеописанный финал постиг и Общество Мертвых Поэтов.

Финальная сцена, вернет вас из выбитого состояния и подарит надежду. Надежду на то, что даже маленькая кучка людей, способна на большие свершения. Плыви, плыви, плыви!",1
